timestamp,service,total,2xx,4xx,5xx,resets,rq_time_sum_ms,rq_time_count,rq_time_buckets
2026-09-24T09:15:02Z,adservice,102688,102684,0,0,4,122887,102684,"{""0.5"":17958,""1"":17958,""5"":100811,""10"":102319,""25"":102587,""50"":102669,""100"":102683,""250"":102684,""500"":102684,""1000"":102684,""2500"":102684,""5000"":102684,""10000"":102684,""30000"":102684,""60000"":102684,""300000"":102684,""600000"":102684,""1800000"":102684,""3600000"":102684,""+Inf"":102684}"
2026-09-24T09:15:02Z,cartservice,325021,325017,0,0,4,872203,325017,"{""0.5"":16,""1"":16,""5"":281543,""10"":316577,""25"":324889,""50"":325010,""100"":325011,""250"":325011,""500"":325017,""1000"":325017,""2500"":325017,""5000"":325017,""10000"":325017,""30000"":325017,""60000"":325017,""300000"":325017,""600000"":325017,""1800000"":325017,""3600000"":325017,""+Inf"":325017}"
2026-09-24T09:15:02Z,checkoutservice,10442,10442,0,0,0,491422,10442,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":2,""50"":8172,""100"":10103,""250"":10420,""500"":10441,""1000"":10442,""2500"":10442,""5000"":10442,""10000"":10442,""30000"":10442,""60000"":10442,""300000"":10442,""600000"":10442,""1800000"":10442,""3600000"":10442,""+Inf"":10442}"
2026-09-24T09:15:02Z,currencyservice,482989,482979,0,0,10,2005022,482979,"{""0.5"":38123,""1"":38123,""5"":401383,""10"":455686,""25"":471500,""50"":476888,""100"":481325,""250"":482846,""500"":482979,""1000"":482979,""2500"":482979,""5000"":482979,""10000"":482979,""30000"":482979,""60000"":482979,""300000"":482979,""600000"":482979,""1800000"":482979,""3600000"":482979,""+Inf"":482979}"
2026-09-24T09:15:02Z,emailservice,20887,20887,0,0,0,95546,20887,"{""0.5"":0,""1"":0,""5"":19230,""10"":20024,""25"":20191,""50"":20415,""100"":20790,""250"":20887,""500"":20887,""1000"":20887,""2500"":20887,""5000"":20887,""10000"":20887,""30000"":20887,""60000"":20887,""300000"":20887,""600000"":20887,""1800000"":20887,""3600000"":20887,""+Inf"":20887}"
2026-09-24T09:15:02Z,frontend,310304,251608,0,58276,420,204332161,309884,"{""0.5"":0,""1"":0,""5"":2741,""10"":15787,""25"":33303,""50"":46541,""100"":54525,""250"":57599,""500"":75108,""1000"":235579,""2500"":309884,""5000"":309884,""10000"":309884,""30000"":309884,""60000"":309884,""300000"":309884,""600000"":309884,""1800000"":309884,""3600000"":309884,""+Inf"":309884}"
2026-09-24T09:15:02Z,paymentservice,20887,20887,0,0,0,52603,20887,"{""0.5"":19,""1"":19,""5"":20143,""10"":20493,""25"":20602,""50"":20705,""100"":20850,""250"":20884,""500"":20887,""1000"":20887,""2500"":20887,""5000"":20887,""10000"":20887,""30000"":20887,""60000"":20887,""300000"":20887,""600000"":20887,""1800000"":20887,""3600000"":20887,""+Inf"":20887}"
2026-09-24T09:15:02Z,productcatalogservice,1450169,1450145,0,0,24,5074520,1450145,"{""0.5"":209438,""1"":209438,""5"":995925,""10"":1405761,""25"":1448909,""50"":1450145,""100"":1450145,""250"":1450145,""500"":1450145,""1000"":1450145,""2500"":1450145,""5000"":1450145,""10000"":1450145,""30000"":1450145,""60000"":1450145,""300000"":1450145,""600000"":1450145,""1800000"":1450145,""3600000"":1450145,""+Inf"":1450145}"
2026-09-24T09:15:02Z,recommendationservice,388134,325363,0,0,62771,148613648,325363,"{""0.5"":0,""1"":0,""5"":1316,""10"":2469,""25"":3603,""50"":4941,""100"":6923,""250"":9872,""500"":182331,""1000"":325363,""2500"":325363,""5000"":325363,""10000"":325363,""30000"":325363,""60000"":325363,""300000"":325363,""600000"":325363,""1800000"":325363,""3600000"":325363,""+Inf"":325363}"
2026-09-24T09:15:02Z,redis-cart,0,0,0,0,0,0,0,
2026-09-24T09:15:02Z,shippingservice,117877,117877,0,0,0,54854,117877,"{""0.5"":72581,""1"":72581,""5"":117578,""10"":117866,""25"":117877,""50"":117877,""100"":117877,""250"":117877,""500"":117877,""1000"":117877,""2500"":117877,""5000"":117877,""10000"":117877,""30000"":117877,""60000"":117877,""300000"":117877,""600000"":117877,""1800000"":117877,""3600000"":117877,""+Inf"":117877}"
2026-09-24T09:15:03Z,adservice,102688,102684,0,0,4,122887,102684,"{""0.5"":17958,""1"":17958,""5"":100811,""10"":102319,""25"":102587,""50"":102669,""100"":102683,""250"":102684,""500"":102684,""1000"":102684,""2500"":102684,""5000"":102684,""10000"":102684,""30000"":102684,""60000"":102684,""300000"":102684,""600000"":102684,""1800000"":102684,""3600000"":102684,""+Inf"":102684}"
2026-09-24T09:15:03Z,cartservice,325021,325017,0,0,4,872203,325017,"{""0.5"":16,""1"":16,""5"":281543,""10"":316577,""25"":324889,""50"":325010,""100"":325011,""250"":325011,""500"":325017,""1000"":325017,""2500"":325017,""5000"":325017,""10000"":325017,""30000"":325017,""60000"":325017,""300000"":325017,""600000"":325017,""1800000"":325017,""3600000"":325017,""+Inf"":325017}"
2026-09-24T09:15:03Z,checkoutservice,10442,10442,0,0,0,491422,10442,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":2,""50"":8172,""100"":10103,""250"":10420,""500"":10441,""1000"":10442,""2500"":10442,""5000"":10442,""10000"":10442,""30000"":10442,""60000"":10442,""300000"":10442,""600000"":10442,""1800000"":10442,""3600000"":10442,""+Inf"":10442}"
2026-09-24T09:15:03Z,currencyservice,482989,482979,0,0,10,2005022,482979,"{""0.5"":38123,""1"":38123,""5"":401383,""10"":455686,""25"":471500,""50"":476888,""100"":481325,""250"":482846,""500"":482979,""1000"":482979,""2500"":482979,""5000"":482979,""10000"":482979,""30000"":482979,""60000"":482979,""300000"":482979,""600000"":482979,""1800000"":482979,""3600000"":482979,""+Inf"":482979}"
2026-09-24T09:15:03Z,emailservice,20887,20887,0,0,0,95546,20887,"{""0.5"":0,""1"":0,""5"":19230,""10"":20024,""25"":20191,""50"":20415,""100"":20790,""250"":20887,""500"":20887,""1000"":20887,""2500"":20887,""5000"":20887,""10000"":20887,""30000"":20887,""60000"":20887,""300000"":20887,""600000"":20887,""1800000"":20887,""3600000"":20887,""+Inf"":20887}"
2026-09-24T09:15:03Z,frontend,310304,251608,0,58276,420,204332161,309884,"{""0.5"":0,""1"":0,""5"":2741,""10"":15787,""25"":33303,""50"":46541,""100"":54525,""250"":57599,""500"":75108,""1000"":235579,""2500"":309884,""5000"":309884,""10000"":309884,""30000"":309884,""60000"":309884,""300000"":309884,""600000"":309884,""1800000"":309884,""3600000"":309884,""+Inf"":309884}"
2026-09-24T09:15:03Z,paymentservice,20887,20887,0,0,0,52603,20887,"{""0.5"":19,""1"":19,""5"":20143,""10"":20493,""25"":20602,""50"":20705,""100"":20850,""250"":20884,""500"":20887,""1000"":20887,""2500"":20887,""5000"":20887,""10000"":20887,""30000"":20887,""60000"":20887,""300000"":20887,""600000"":20887,""1800000"":20887,""3600000"":20887,""+Inf"":20887}"
2026-09-24T09:15:03Z,productcatalogservice,1450169,1450145,0,0,24,5074520,1450145,"{""0.5"":209438,""1"":209438,""5"":995925,""10"":1405761,""25"":1448909,""50"":1450145,""100"":1450145,""250"":1450145,""500"":1450145,""1000"":1450145,""2500"":1450145,""5000"":1450145,""10000"":1450145,""30000"":1450145,""60000"":1450145,""300000"":1450145,""600000"":1450145,""1800000"":1450145,""3600000"":1450145,""+Inf"":1450145}"
2026-09-24T09:15:03Z,recommendationservice,388134,325363,0,0,62771,148613648,325363,"{""0.5"":0,""1"":0,""5"":1316,""10"":2469,""25"":3603,""50"":4941,""100"":6923,""250"":9872,""500"":182331,""1000"":325363,""2500"":325363,""5000"":325363,""10000"":325363,""30000"":325363,""60000"":325363,""300000"":325363,""600000"":325363,""1800000"":325363,""3600000"":325363,""+Inf"":325363}"
2026-09-24T09:15:03Z,redis-cart,0,0,0,0,0,0,0,
2026-09-24T09:15:03Z,shippingservice,117877,117877,0,0,0,54854,117877,"{""0.5"":72581,""1"":72581,""5"":117578,""10"":117866,""25"":117877,""50"":117877,""100"":117877,""250"":117877,""500"":117877,""1000"":117877,""2500"":117877,""5000"":117877,""10000"":117877,""30000"":117877,""60000"":117877,""300000"":117877,""600000"":117877,""1800000"":117877,""3600000"":117877,""+Inf"":117877}"
2026-09-24T09:15:04Z,adservice,102688,102684,0,0,4,122887,102684,"{""0.5"":17958,""1"":17958,""5"":100811,""10"":102319,""25"":102587,""50"":102669,""100"":102683,""250"":102684,""500"":102684,""1000"":102684,""2500"":102684,""5000"":102684,""10000"":102684,""30000"":102684,""60000"":102684,""300000"":102684,""600000"":102684,""1800000"":102684,""3600000"":102684,""+Inf"":102684}"
2026-09-24T09:15:04Z,cartservice,325021,325017,0,0,4,872203,325017,"{""0.5"":16,""1"":16,""5"":281543,""10"":316577,""25"":324889,""50"":325010,""100"":325011,""250"":325011,""500"":325017,""1000"":325017,""2500"":325017,""5000"":325017,""10000"":325017,""30000"":325017,""60000"":325017,""300000"":325017,""600000"":325017,""1800000"":325017,""3600000"":325017,""+Inf"":325017}"
2026-09-24T09:15:04Z,checkoutservice,10442,10442,0,0,0,491422,10442,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":2,""50"":8172,""100"":10103,""250"":10420,""500"":10441,""1000"":10442,""2500"":10442,""5000"":10442,""10000"":10442,""30000"":10442,""60000"":10442,""300000"":10442,""600000"":10442,""1800000"":10442,""3600000"":10442,""+Inf"":10442}"
2026-09-24T09:15:04Z,currencyservice,482989,482979,0,0,10,2005022,482979,"{""0.5"":38123,""1"":38123,""5"":401383,""10"":455686,""25"":471500,""50"":476888,""100"":481325,""250"":482846,""500"":482979,""1000"":482979,""2500"":482979,""5000"":482979,""10000"":482979,""30000"":482979,""60000"":482979,""300000"":482979,""600000"":482979,""1800000"":482979,""3600000"":482979,""+Inf"":482979}"
2026-09-24T09:15:04Z,emailservice,20887,20887,0,0,0,95546,20887,"{""0.5"":0,""1"":0,""5"":19230,""10"":20024,""25"":20191,""50"":20415,""100"":20790,""250"":20887,""500"":20887,""1000"":20887,""2500"":20887,""5000"":20887,""10000"":20887,""30000"":20887,""60000"":20887,""300000"":20887,""600000"":20887,""1800000"":20887,""3600000"":20887,""+Inf"":20887}"
2026-09-24T09:15:04Z,frontend,310304,251608,0,58276,420,204332161,309884,"{""0.5"":0,""1"":0,""5"":2741,""10"":15787,""25"":33303,""50"":46541,""100"":54525,""250"":57599,""500"":75108,""1000"":235579,""2500"":309884,""5000"":309884,""10000"":309884,""30000"":309884,""60000"":309884,""300000"":309884,""600000"":309884,""1800000"":309884,""3600000"":309884,""+Inf"":309884}"
2026-09-24T09:15:04Z,paymentservice,20887,20887,0,0,0,52603,20887,"{""0.5"":19,""1"":19,""5"":20143,""10"":20493,""25"":20602,""50"":20705,""100"":20850,""250"":20884,""500"":20887,""1000"":20887,""2500"":20887,""5000"":20887,""10000"":20887,""30000"":20887,""60000"":20887,""300000"":20887,""600000"":20887,""1800000"":20887,""3600000"":20887,""+Inf"":20887}"
2026-09-24T09:15:04Z,productcatalogservice,1450169,1450145,0,0,24,5074520,1450145,"{""0.5"":209438,""1"":209438,""5"":995925,""10"":1405761,""25"":1448909,""50"":1450145,""100"":1450145,""250"":1450145,""500"":1450145,""1000"":1450145,""2500"":1450145,""5000"":1450145,""10000"":1450145,""30000"":1450145,""60000"":1450145,""300000"":1450145,""600000"":1450145,""1800000"":1450145,""3600000"":1450145,""+Inf"":1450145}"
2026-09-24T09:15:04Z,recommendationservice,388134,325363,0,0,62771,148613648,325363,"{""0.5"":0,""1"":0,""5"":1316,""10"":2469,""25"":3603,""50"":4941,""100"":6923,""250"":9872,""500"":182331,""1000"":325363,""2500"":325363,""5000"":325363,""10000"":325363,""30000"":325363,""60000"":325363,""300000"":325363,""600000"":325363,""1800000"":325363,""3600000"":325363,""+Inf"":325363}"
2026-09-24T09:15:04Z,redis-cart,0,0,0,0,0,0,0,
2026-09-24T09:15:04Z,shippingservice,117877,117877,0,0,0,54854,117877,"{""0.5"":72581,""1"":72581,""5"":117578,""10"":117866,""25"":117877,""50"":117877,""100"":117877,""250"":117877,""500"":117877,""1000"":117877,""2500"":117877,""5000"":117877,""10000"":117877,""30000"":117877,""60000"":117877,""300000"":117877,""600000"":117877,""1800000"":117877,""3600000"":117877,""+Inf"":117877}"
2026-09-24T09:15:05Z,adservice,102688,102684,0,0,4,122887,102684,"{""0.5"":17958,""1"":17958,""5"":100811,""10"":102319,""25"":102587,""50"":102669,""100"":102683,""250"":102684,""500"":102684,""1000"":102684,""2500"":102684,""5000"":102684,""10000"":102684,""30000"":102684,""60000"":102684,""300000"":102684,""600000"":102684,""1800000"":102684,""3600000"":102684,""+Inf"":102684}"
2026-09-24T09:15:05Z,cartservice,325021,325017,0,0,4,872203,325017,"{""0.5"":16,""1"":16,""5"":281543,""10"":316577,""25"":324889,""50"":325010,""100"":325011,""250"":325011,""500"":325017,""1000"":325017,""2500"":325017,""5000"":325017,""10000"":325017,""30000"":325017,""60000"":325017,""300000"":325017,""600000"":325017,""1800000"":325017,""3600000"":325017,""+Inf"":325017}"
2026-09-24T09:15:05Z,checkoutservice,10442,10442,0,0,0,491422,10442,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":2,""50"":8172,""100"":10103,""250"":10420,""500"":10441,""1000"":10442,""2500"":10442,""5000"":10442,""10000"":10442,""30000"":10442,""60000"":10442,""300000"":10442,""600000"":10442,""1800000"":10442,""3600000"":10442,""+Inf"":10442}"
2026-09-24T09:15:05Z,currencyservice,482989,482979,0,0,10,2005022,482979,"{""0.5"":38123,""1"":38123,""5"":401383,""10"":455686,""25"":471500,""50"":476888,""100"":481325,""250"":482846,""500"":482979,""1000"":482979,""2500"":482979,""5000"":482979,""10000"":482979,""30000"":482979,""60000"":482979,""300000"":482979,""600000"":482979,""1800000"":482979,""3600000"":482979,""+Inf"":482979}"
2026-09-24T09:15:05Z,emailservice,20887,20887,0,0,0,95546,20887,"{""0.5"":0,""1"":0,""5"":19230,""10"":20024,""25"":20191,""50"":20415,""100"":20790,""250"":20887,""500"":20887,""1000"":20887,""2500"":20887,""5000"":20887,""10000"":20887,""30000"":20887,""60000"":20887,""300000"":20887,""600000"":20887,""1800000"":20887,""3600000"":20887,""+Inf"":20887}"
2026-09-24T09:15:05Z,frontend,310304,251608,0,58276,420,204332161,309884,"{""0.5"":0,""1"":0,""5"":2741,""10"":15787,""25"":33303,""50"":46541,""100"":54525,""250"":57599,""500"":75108,""1000"":235579,""2500"":309884,""5000"":309884,""10000"":309884,""30000"":309884,""60000"":309884,""300000"":309884,""600000"":309884,""1800000"":309884,""3600000"":309884,""+Inf"":309884}"
2026-09-24T09:15:05Z,paymentservice,20887,20887,0,0,0,52603,20887,"{""0.5"":19,""1"":19,""5"":20143,""10"":20493,""25"":20602,""50"":20705,""100"":20850,""250"":20884,""500"":20887,""1000"":20887,""2500"":20887,""5000"":20887,""10000"":20887,""30000"":20887,""60000"":20887,""300000"":20887,""600000"":20887,""1800000"":20887,""3600000"":20887,""+Inf"":20887}"
2026-09-24T09:15:05Z,productcatalogservice,1450169,1450145,0,0,24,5074520,1450145,"{""0.5"":209438,""1"":209438,""5"":995925,""10"":1405761,""25"":1448909,""50"":1450145,""100"":1450145,""250"":1450145,""500"":1450145,""1000"":1450145,""2500"":1450145,""5000"":1450145,""10000"":1450145,""30000"":1450145,""60000"":1450145,""300000"":1450145,""600000"":1450145,""1800000"":1450145,""3600000"":1450145,""+Inf"":1450145}"
2026-09-24T09:15:05Z,recommendationservice,388134,325363,0,0,62771,148613648,325363,"{""0.5"":0,""1"":0,""5"":1316,""10"":2469,""25"":3603,""50"":4941,""100"":6923,""250"":9872,""500"":182331,""1000"":325363,""2500"":325363,""5000"":325363,""10000"":325363,""30000"":325363,""60000"":325363,""300000"":325363,""600000"":325363,""1800000"":325363,""3600000"":325363,""+Inf"":325363}"
2026-09-24T09:15:05Z,redis-cart,0,0,0,0,0,0,0,
2026-09-24T09:15:05Z,shippingservice,117877,117877,0,0,0,54854,117877,"{""0.5"":72581,""1"":72581,""5"":117578,""10"":117866,""25"":117877,""50"":117877,""100"":117877,""250"":117877,""500"":117877,""1000"":117877,""2500"":117877,""5000"":117877,""10000"":117877,""30000"":117877,""60000"":117877,""300000"":117877,""600000"":117877,""1800000"":117877,""3600000"":117877,""+Inf"":117877}"
2026-09-24T09:15:06Z,adservice,102688,102684,0,0,4,122887,102684,"{""0.5"":17958,""1"":17958,""5"":100811,""10"":102319,""25"":102587,""50"":102669,""100"":102683,""250"":102684,""500"":102684,""1000"":102684,""2500"":102684,""5000"":102684,""10000"":102684,""30000"":102684,""60000"":102684,""300000"":102684,""600000"":102684,""1800000"":102684,""3600000"":102684,""+Inf"":102684}"
2026-09-24T09:15:06Z,cartservice,325021,325017,0,0,4,872203,325017,"{""0.5"":16,""1"":16,""5"":281543,""10"":316577,""25"":324889,""50"":325010,""100"":325011,""250"":325011,""500"":325017,""1000"":325017,""2500"":325017,""5000"":325017,""10000"":325017,""30000"":325017,""60000"":325017,""300000"":325017,""600000"":325017,""1800000"":325017,""3600000"":325017,""+Inf"":325017}"
2026-09-24T09:15:06Z,checkoutservice,10442,10442,0,0,0,491422,10442,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":2,""50"":8172,""100"":10103,""250"":10420,""500"":10441,""1000"":10442,""2500"":10442,""5000"":10442,""10000"":10442,""30000"":10442,""60000"":10442,""300000"":10442,""600000"":10442,""1800000"":10442,""3600000"":10442,""+Inf"":10442}"
2026-09-24T09:15:06Z,currencyservice,482989,482979,0,0,10,2005022,482979,"{""0.5"":38123,""1"":38123,""5"":401383,""10"":455686,""25"":471500,""50"":476888,""100"":481325,""250"":482846,""500"":482979,""1000"":482979,""2500"":482979,""5000"":482979,""10000"":482979,""30000"":482979,""60000"":482979,""300000"":482979,""600000"":482979,""1800000"":482979,""3600000"":482979,""+Inf"":482979}"
2026-09-24T09:15:06Z,emailservice,20887,20887,0,0,0,95546,20887,"{""0.5"":0,""1"":0,""5"":19230,""10"":20024,""25"":20191,""50"":20415,""100"":20790,""250"":20887,""500"":20887,""1000"":20887,""2500"":20887,""5000"":20887,""10000"":20887,""30000"":20887,""60000"":20887,""300000"":20887,""600000"":20887,""1800000"":20887,""3600000"":20887,""+Inf"":20887}"
2026-09-24T09:15:06Z,frontend,310304,251608,0,58276,420,204332161,309884,"{""0.5"":0,""1"":0,""5"":2741,""10"":15787,""25"":33303,""50"":46541,""100"":54525,""250"":57599,""500"":75108,""1000"":235579,""2500"":309884,""5000"":309884,""10000"":309884,""30000"":309884,""60000"":309884,""300000"":309884,""600000"":309884,""1800000"":309884,""3600000"":309884,""+Inf"":309884}"
2026-09-24T09:15:06Z,paymentservice,20887,20887,0,0,0,52603,20887,"{""0.5"":19,""1"":19,""5"":20143,""10"":20493,""25"":20602,""50"":20705,""100"":20850,""250"":20884,""500"":20887,""1000"":20887,""2500"":20887,""5000"":20887,""10000"":20887,""30000"":20887,""60000"":20887,""300000"":20887,""600000"":20887,""1800000"":20887,""3600000"":20887,""+Inf"":20887}"
2026-09-24T09:15:06Z,productcatalogservice,1450169,1450145,0,0,24,5074520,1450145,"{""0.5"":209438,""1"":209438,""5"":995925,""10"":1405761,""25"":1448909,""50"":1450145,""100"":1450145,""250"":1450145,""500"":1450145,""1000"":1450145,""2500"":1450145,""5000"":1450145,""10000"":1450145,""30000"":1450145,""60000"":1450145,""300000"":1450145,""600000"":1450145,""1800000"":1450145,""3600000"":1450145,""+Inf"":1450145}"
2026-09-24T09:15:06Z,recommendationservice,388134,325363,0,0,62771,148613648,325363,"{""0.5"":0,""1"":0,""5"":1316,""10"":2469,""25"":3603,""50"":4941,""100"":6923,""250"":9872,""500"":182331,""1000"":325363,""2500"":325363,""5000"":325363,""10000"":325363,""30000"":325363,""60000"":325363,""300000"":325363,""600000"":325363,""1800000"":325363,""3600000"":325363,""+Inf"":325363}"
2026-09-24T09:15:06Z,redis-cart,0,0,0,0,0,0,0,
2026-09-24T09:15:06Z,shippingservice,117877,117877,0,0,0,54854,117877,"{""0.5"":72581,""1"":72581,""5"":117578,""10"":117866,""25"":117877,""50"":117877,""100"":117877,""250"":117877,""500"":117877,""1000"":117877,""2500"":117877,""5000"":117877,""10000"":117877,""30000"":117877,""60000"":117877,""300000"":117877,""600000"":117877,""1800000"":117877,""3600000"":117877,""+Inf"":117877}"
2026-09-24T09:15:07Z,adservice,102688,102684,0,0,4,122887,102684,"{""0.5"":17958,""1"":17958,""5"":100811,""10"":102319,""25"":102587,""50"":102669,""100"":102683,""250"":102684,""500"":102684,""1000"":102684,""2500"":102684,""5000"":102684,""10000"":102684,""30000"":102684,""60000"":102684,""300000"":102684,""600000"":102684,""1800000"":102684,""3600000"":102684,""+Inf"":102684}"
2026-09-24T09:15:07Z,cartservice,325021,325017,0,0,4,872203,325017,"{""0.5"":16,""1"":16,""5"":281543,""10"":316577,""25"":324889,""50"":325010,""100"":325011,""250"":325011,""500"":325017,""1000"":325017,""2500"":325017,""5000"":325017,""10000"":325017,""30000"":325017,""60000"":325017,""300000"":325017,""600000"":325017,""1800000"":325017,""3600000"":325017,""+Inf"":325017}"
2026-09-24T09:15:07Z,checkoutservice,10442,10442,0,0,0,491422,10442,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":2,""50"":8172,""100"":10103,""250"":10420,""500"":10441,""1000"":10442,""2500"":10442,""5000"":10442,""10000"":10442,""30000"":10442,""60000"":10442,""300000"":10442,""600000"":10442,""1800000"":10442,""3600000"":10442,""+Inf"":10442}"
2026-09-24T09:15:07Z,currencyservice,482989,482979,0,0,10,2005022,482979,"{""0.5"":38123,""1"":38123,""5"":401383,""10"":455686,""25"":471500,""50"":476888,""100"":481325,""250"":482846,""500"":482979,""1000"":482979,""2500"":482979,""5000"":482979,""10000"":482979,""30000"":482979,""60000"":482979,""300000"":482979,""600000"":482979,""1800000"":482979,""3600000"":482979,""+Inf"":482979}"
2026-09-24T09:15:07Z,emailservice,20887,20887,0,0,0,95546,20887,"{""0.5"":0,""1"":0,""5"":19230,""10"":20024,""25"":20191,""50"":20415,""100"":20790,""250"":20887,""500"":20887,""1000"":20887,""2500"":20887,""5000"":20887,""10000"":20887,""30000"":20887,""60000"":20887,""300000"":20887,""600000"":20887,""1800000"":20887,""3600000"":20887,""+Inf"":20887}"
2026-09-24T09:15:07Z,frontend,310304,251608,0,58276,420,204332161,309884,"{""0.5"":0,""1"":0,""5"":2741,""10"":15787,""25"":33303,""50"":46541,""100"":54525,""250"":57599,""500"":75108,""1000"":235579,""2500"":309884,""5000"":309884,""10000"":309884,""30000"":309884,""60000"":309884,""300000"":309884,""600000"":309884,""1800000"":309884,""3600000"":309884,""+Inf"":309884}"
2026-09-24T09:15:07Z,paymentservice,20887,20887,0,0,0,52603,20887,"{""0.5"":19,""1"":19,""5"":20143,""10"":20493,""25"":20602,""50"":20705,""100"":20850,""250"":20884,""500"":20887,""1000"":20887,""2500"":20887,""5000"":20887,""10000"":20887,""30000"":20887,""60000"":20887,""300000"":20887,""600000"":20887,""1800000"":20887,""3600000"":20887,""+Inf"":20887}"
2026-09-24T09:15:07Z,productcatalogservice,1450169,1450145,0,0,24,5074520,1450145,"{""0.5"":209438,""1"":209438,""5"":995925,""10"":1405761,""25"":1448909,""50"":1450145,""100"":1450145,""250"":1450145,""500"":1450145,""1000"":1450145,""2500"":1450145,""5000"":1450145,""10000"":1450145,""30000"":1450145,""60000"":1450145,""300000"":1450145,""600000"":1450145,""1800000"":1450145,""3600000"":1450145,""+Inf"":1450145}"
2026-09-24T09:15:07Z,recommendationservice,388134,325363,0,0,62771,148613648,325363,"{""0.5"":0,""1"":0,""5"":1316,""10"":2469,""25"":3603,""50"":4941,""100"":6923,""250"":9872,""500"":182331,""1000"":325363,""2500"":325363,""5000"":325363,""10000"":325363,""30000"":325363,""60000"":325363,""300000"":325363,""600000"":325363,""1800000"":325363,""3600000"":325363,""+Inf"":325363}"
2026-09-24T09:15:07Z,redis-cart,0,0,0,0,0,0,0,
2026-09-24T09:15:07Z,shippingservice,117877,117877,0,0,0,54854,117877,"{""0.5"":72581,""1"":72581,""5"":117578,""10"":117866,""25"":117877,""50"":117877,""100"":117877,""250"":117877,""500"":117877,""1000"":117877,""2500"":117877,""5000"":117877,""10000"":117877,""30000"":117877,""60000"":117877,""300000"":117877,""600000"":117877,""1800000"":117877,""3600000"":117877,""+Inf"":117877}"
2026-09-24T09:15:08Z,adservice,102688,102684,0,0,4,122887,102684,"{""0.5"":17958,""1"":17958,""5"":100811,""10"":102319,""25"":102587,""50"":102669,""100"":102683,""250"":102684,""500"":102684,""1000"":102684,""2500"":102684,""5000"":102684,""10000"":102684,""30000"":102684,""60000"":102684,""300000"":102684,""600000"":102684,""1800000"":102684,""3600000"":102684,""+Inf"":102684}"
2026-09-24T09:15:08Z,cartservice,325021,325017,0,0,4,872203,325017,"{""0.5"":16,""1"":16,""5"":281543,""10"":316577,""25"":324889,""50"":325010,""100"":325011,""250"":325011,""500"":325017,""1000"":325017,""2500"":325017,""5000"":325017,""10000"":325017,""30000"":325017,""60000"":325017,""300000"":325017,""600000"":325017,""1800000"":325017,""3600000"":325017,""+Inf"":325017}"
2026-09-24T09:15:08Z,checkoutservice,10442,10442,0,0,0,491422,10442,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":2,""50"":8172,""100"":10103,""250"":10420,""500"":10441,""1000"":10442,""2500"":10442,""5000"":10442,""10000"":10442,""30000"":10442,""60000"":10442,""300000"":10442,""600000"":10442,""1800000"":10442,""3600000"":10442,""+Inf"":10442}"
2026-09-24T09:15:08Z,currencyservice,482989,482979,0,0,10,2005022,482979,"{""0.5"":38123,""1"":38123,""5"":401383,""10"":455686,""25"":471500,""50"":476888,""100"":481325,""250"":482846,""500"":482979,""1000"":482979,""2500"":482979,""5000"":482979,""10000"":482979,""30000"":482979,""60000"":482979,""300000"":482979,""600000"":482979,""1800000"":482979,""3600000"":482979,""+Inf"":482979}"
2026-09-24T09:15:08Z,emailservice,20887,20887,0,0,0,95546,20887,"{""0.5"":0,""1"":0,""5"":19230,""10"":20024,""25"":20191,""50"":20415,""100"":20790,""250"":20887,""500"":20887,""1000"":20887,""2500"":20887,""5000"":20887,""10000"":20887,""30000"":20887,""60000"":20887,""300000"":20887,""600000"":20887,""1800000"":20887,""3600000"":20887,""+Inf"":20887}"
2026-09-24T09:15:08Z,frontend,310304,251608,0,58276,420,204332161,309884,"{""0.5"":0,""1"":0,""5"":2741,""10"":15787,""25"":33303,""50"":46541,""100"":54525,""250"":57599,""500"":75108,""1000"":235579,""2500"":309884,""5000"":309884,""10000"":309884,""30000"":309884,""60000"":309884,""300000"":309884,""600000"":309884,""1800000"":309884,""3600000"":309884,""+Inf"":309884}"
2026-09-24T09:15:08Z,paymentservice,20887,20887,0,0,0,52603,20887,"{""0.5"":19,""1"":19,""5"":20143,""10"":20493,""25"":20602,""50"":20705,""100"":20850,""250"":20884,""500"":20887,""1000"":20887,""2500"":20887,""5000"":20887,""10000"":20887,""30000"":20887,""60000"":20887,""300000"":20887,""600000"":20887,""1800000"":20887,""3600000"":20887,""+Inf"":20887}"
2026-09-24T09:15:08Z,productcatalogservice,1450169,1450145,0,0,24,5074520,1450145,"{""0.5"":209438,""1"":209438,""5"":995925,""10"":1405761,""25"":1448909,""50"":1450145,""100"":1450145,""250"":1450145,""500"":1450145,""1000"":1450145,""2500"":1450145,""5000"":1450145,""10000"":1450145,""30000"":1450145,""60000"":1450145,""300000"":1450145,""600000"":1450145,""1800000"":1450145,""3600000"":1450145,""+Inf"":1450145}"
