timestamp,service,total,2xx,4xx,5xx,resets,rq_time_sum_ms,rq_time_count,rq_time_buckets
2026-09-16T20:43:00Z,emailservice,26,25,0,0,1,53,25,"{""0.5"":0,""1"":0,""5"":24,""10"":24,""25"":25,""50"":25,""100"":25,""250"":25,""500"":25,""1000"":25,""2500"":25,""5000"":25,""10000"":25,""30000"":25,""60000"":25,""300000"":25,""600000"":25,""1800000"":25,""3600000"":25,""+Inf"":25}"
2026-09-16T20:43:00Z,frontend,330596,324211,0,6063,322,87240301,330274,"{""0.5"":0,""1"":0,""5"":1925,""10"":13819,""25"":46976,""50"":85500,""100"":131511,""250"":165640,""500"":284782,""1000"":326725,""2500"":330129,""5000"":330274,""10000"":330274,""30000"":330274,""60000"":330274,""300000"":330274,""600000"":330274,""1800000"":330274,""3600000"":330274,""+Inf"":330274}"
2026-09-16T20:43:00Z,paymentservice,587,514,0,0,77,1075,510,"{""0.5"":2,""1"":2,""5"":496,""10"":507,""25"":510,""50"":510,""100"":510,""250"":510,""500"":510,""1000"":510,""2500"":510,""5000"":510,""10000"":510,""30000"":510,""60000"":510,""300000"":510,""600000"":510,""1800000"":510,""3600000"":510,""+Inf"":510}"
2026-09-16T20:43:00Z,productcatalogservice,1434808,1434699,0,0,109,11028957,1434699,"{""0.5"":127918,""1"":127918,""5"":542974,""10"":943341,""25"":1430010,""50"":1434451,""100"":1434699,""250"":1434699,""500"":1434699,""1000"":1434699,""2500"":1434699,""5000"":1434699,""10000"":1434699,""30000"":1434699,""60000"":1434699,""300000"":1434699,""600000"":1434699,""1800000"":1434699,""3600000"":1434699,""+Inf"":1434699}"
2026-09-16T20:43:00Z,recommendationservice,198756,198755,0,0,1,12316429,198755,"{""0.5"":0,""1"":0,""5"":8956,""10"":16072,""25"":51396,""50"":99425,""100"":159487,""250"":197749,""500"":198755,""1000"":198755,""2500"":198755,""5000"":198755,""10000"":198755,""30000"":198755,""60000"":198755,""300000"":198755,""600000"":198755,""1800000"":198755,""3600000"":198755,""+Inf"":198755}"
2026-09-16T20:43:00Z,redis-cart,0,0,0,0,0,0,0,
2026-09-16T20:43:00Z,shippingservice,120160,119362,0,0,803,271049,119362,"{""0.5"":9498,""1"":9498,""5"":111258,""10"":119313,""25"":119344,""50"":119345,""100"":119356,""250"":119361,""500"":119362,""1000"":119362,""2500"":119362,""5000"":119362,""10000"":119362,""30000"":119362,""60000"":119362,""300000"":119362,""600000"":119362,""1800000"":119362,""3600000"":119362,""+Inf"":119362}"
2026-09-16T20:43:01Z,adservice,82218,82210,0,0,8,165796,82210,"{""0.5"":1817,""1"":1817,""5"":78319,""10"":82095,""25"":82182,""50"":82202,""100"":82210,""250"":82210,""500"":82210,""1000"":82210,""2500"":82210,""5000"":82210,""10000"":82210,""30000"":82210,""60000"":82210,""300000"":82210,""600000"":82210,""1800000"":82210,""3600000"":82210,""+Inf"":82210}"
2026-09-16T20:43:01Z,cartservice,337811,337509,0,0,302,1620422,337509,"{""0.5"":26,""1"":26,""5"":200106,""10"":308624,""25"":336890,""50"":337490,""100"":337500,""250"":337508,""500"":337509,""1000"":337509,""2500"":337509,""5000"":337509,""10000"":337509,""30000"":337509,""60000"":337509,""300000"":337509,""600000"":337509,""1800000"":337509,""3600000"":337509,""+Inf"":337509}"
2026-09-16T20:43:01Z,checkoutservice,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-16T20:43:01Z,currencyservice,504981,504949,0,0,32,3256168,504949,"{""0.5"":13808,""1"":13808,""5"":228872,""10"":394325,""25"":501203,""50"":504867,""100"":504940,""250"":504947,""500"":504949,""1000"":504949,""2500"":504949,""5000"":504949,""10000"":504949,""30000"":504949,""60000"":504949,""300000"":504949,""600000"":504949,""1800000"":504949,""3600000"":504949,""+Inf"":504949}"
2026-09-16T20:43:01Z,emailservice,26,25,0,0,1,53,25,"{""0.5"":0,""1"":0,""5"":24,""10"":24,""25"":25,""50"":25,""100"":25,""250"":25,""500"":25,""1000"":25,""2500"":25,""5000"":25,""10000"":25,""30000"":25,""60000"":25,""300000"":25,""600000"":25,""1800000"":25,""3600000"":25,""+Inf"":25}"
2026-09-16T20:43:01Z,frontend,330596,324211,0,6063,322,87240301,330274,"{""0.5"":0,""1"":0,""5"":1925,""10"":13819,""25"":46976,""50"":85500,""100"":131511,""250"":165640,""500"":284782,""1000"":326725,""2500"":330129,""5000"":330274,""10000"":330274,""30000"":330274,""60000"":330274,""300000"":330274,""600000"":330274,""1800000"":330274,""3600000"":330274,""+Inf"":330274}"
2026-09-16T20:43:01Z,paymentservice,587,514,0,0,77,1075,510,"{""0.5"":2,""1"":2,""5"":496,""10"":507,""25"":510,""50"":510,""100"":510,""250"":510,""500"":510,""1000"":510,""2500"":510,""5000"":510,""10000"":510,""30000"":510,""60000"":510,""300000"":510,""600000"":510,""1800000"":510,""3600000"":510,""+Inf"":510}"
2026-09-16T20:43:01Z,productcatalogservice,1434808,1434699,0,0,109,11028957,1434699,"{""0.5"":127918,""1"":127918,""5"":542974,""10"":943341,""25"":1430010,""50"":1434451,""100"":1434699,""250"":1434699,""500"":1434699,""1000"":1434699,""2500"":1434699,""5000"":1434699,""10000"":1434699,""30000"":1434699,""60000"":1434699,""300000"":1434699,""600000"":1434699,""1800000"":1434699,""3600000"":1434699,""+Inf"":1434699}"
2026-09-16T20:43:01Z,recommendationservice,198756,198755,0,0,1,12316429,198755,"{""0.5"":0,""1"":0,""5"":8956,""10"":16072,""25"":51396,""50"":99425,""100"":159487,""250"":197749,""500"":198755,""1000"":198755,""2500"":198755,""5000"":198755,""10000"":198755,""30000"":198755,""60000"":198755,""300000"":198755,""600000"":198755,""1800000"":198755,""3600000"":198755,""+Inf"":198755}"
2026-09-16T20:43:01Z,redis-cart,0,0,0,0,0,0,0,
2026-09-16T20:43:01Z,shippingservice,120160,119362,0,0,803,271049,119362,"{""0.5"":9498,""1"":9498,""5"":111258,""10"":119313,""25"":119344,""50"":119345,""100"":119356,""250"":119361,""500"":119362,""1000"":119362,""2500"":119362,""5000"":119362,""10000"":119362,""30000"":119362,""60000"":119362,""300000"":119362,""600000"":119362,""1800000"":119362,""3600000"":119362,""+Inf"":119362}"
2026-09-16T20:43:02Z,adservice,82218,82210,0,0,8,165796,82210,"{""0.5"":1817,""1"":1817,""5"":78319,""10"":82095,""25"":82182,""50"":82202,""100"":82210,""250"":82210,""500"":82210,""1000"":82210,""2500"":82210,""5000"":82210,""10000"":82210,""30000"":82210,""60000"":82210,""300000"":82210,""600000"":82210,""1800000"":82210,""3600000"":82210,""+Inf"":82210}"
2026-09-16T20:43:02Z,cartservice,337811,337509,0,0,302,1620422,337509,"{""0.5"":26,""1"":26,""5"":200106,""10"":308624,""25"":336890,""50"":337490,""100"":337500,""250"":337508,""500"":337509,""1000"":337509,""2500"":337509,""5000"":337509,""10000"":337509,""30000"":337509,""60000"":337509,""300000"":337509,""600000"":337509,""1800000"":337509,""3600000"":337509,""+Inf"":337509}"
2026-09-16T20:43:02Z,checkoutservice,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-16T20:43:02Z,currencyservice,504981,504949,0,0,32,3256168,504949,"{""0.5"":13808,""1"":13808,""5"":228872,""10"":394325,""25"":501203,""50"":504867,""100"":504940,""250"":504947,""500"":504949,""1000"":504949,""2500"":504949,""5000"":504949,""10000"":504949,""30000"":504949,""60000"":504949,""300000"":504949,""600000"":504949,""1800000"":504949,""3600000"":504949,""+Inf"":504949}"
2026-09-16T20:43:02Z,emailservice,26,25,0,0,1,53,25,"{""0.5"":0,""1"":0,""5"":24,""10"":24,""25"":25,""50"":25,""100"":25,""250"":25,""500"":25,""1000"":25,""2500"":25,""5000"":25,""10000"":25,""30000"":25,""60000"":25,""300000"":25,""600000"":25,""1800000"":25,""3600000"":25,""+Inf"":25}"
2026-09-16T20:43:02Z,frontend,330596,324211,0,6063,322,87240301,330274,"{""0.5"":0,""1"":0,""5"":1925,""10"":13819,""25"":46976,""50"":85500,""100"":131511,""250"":165640,""500"":284782,""1000"":326725,""2500"":330129,""5000"":330274,""10000"":330274,""30000"":330274,""60000"":330274,""300000"":330274,""600000"":330274,""1800000"":330274,""3600000"":330274,""+Inf"":330274}"
2026-09-16T20:43:02Z,paymentservice,587,514,0,0,77,1075,510,"{""0.5"":2,""1"":2,""5"":496,""10"":507,""25"":510,""50"":510,""100"":510,""250"":510,""500"":510,""1000"":510,""2500"":510,""5000"":510,""10000"":510,""30000"":510,""60000"":510,""300000"":510,""600000"":510,""1800000"":510,""3600000"":510,""+Inf"":510}"
2026-09-16T20:43:02Z,productcatalogservice,1434808,1434699,0,0,109,11028957,1434699,"{""0.5"":127918,""1"":127918,""5"":542974,""10"":943341,""25"":1430010,""50"":1434451,""100"":1434699,""250"":1434699,""500"":1434699,""1000"":1434699,""2500"":1434699,""5000"":1434699,""10000"":1434699,""30000"":1434699,""60000"":1434699,""300000"":1434699,""600000"":1434699,""1800000"":1434699,""3600000"":1434699,""+Inf"":1434699}"
2026-09-16T20:43:02Z,recommendationservice,198756,198755,0,0,1,12316429,198755,"{""0.5"":0,""1"":0,""5"":8956,""10"":16072,""25"":51396,""50"":99425,""100"":159487,""250"":197749,""500"":198755,""1000"":198755,""2500"":198755,""5000"":198755,""10000"":198755,""30000"":198755,""60000"":198755,""300000"":198755,""600000"":198755,""1800000"":198755,""3600000"":198755,""+Inf"":198755}"
2026-09-16T20:43:02Z,redis-cart,0,0,0,0,0,0,0,
2026-09-16T20:43:02Z,shippingservice,120160,119362,0,0,803,271049,119362,"{""0.5"":9498,""1"":9498,""5"":111258,""10"":119313,""25"":119344,""50"":119345,""100"":119356,""250"":119361,""500"":119362,""1000"":119362,""2500"":119362,""5000"":119362,""10000"":119362,""30000"":119362,""60000"":119362,""300000"":119362,""600000"":119362,""1800000"":119362,""3600000"":119362,""+Inf"":119362}"
2026-09-16T20:43:03Z,adservice,82218,82210,0,0,8,165796,82210,"{""0.5"":1817,""1"":1817,""5"":78319,""10"":82095,""25"":82182,""50"":82202,""100"":82210,""250"":82210,""500"":82210,""1000"":82210,""2500"":82210,""5000"":82210,""10000"":82210,""30000"":82210,""60000"":82210,""300000"":82210,""600000"":82210,""1800000"":82210,""3600000"":82210,""+Inf"":82210}"
2026-09-16T20:43:03Z,cartservice,337811,337509,0,0,302,1620422,337509,"{""0.5"":26,""1"":26,""5"":200106,""10"":308624,""25"":336890,""50"":337490,""100"":337500,""250"":337508,""500"":337509,""1000"":337509,""2500"":337509,""5000"":337509,""10000"":337509,""30000"":337509,""60000"":337509,""300000"":337509,""600000"":337509,""1800000"":337509,""3600000"":337509,""+Inf"":337509}"
2026-09-16T20:43:03Z,checkoutservice,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-16T20:43:03Z,currencyservice,504981,504949,0,0,32,3256168,504949,"{""0.5"":13808,""1"":13808,""5"":228872,""10"":394325,""25"":501203,""50"":504867,""100"":504940,""250"":504947,""500"":504949,""1000"":504949,""2500"":504949,""5000"":504949,""10000"":504949,""30000"":504949,""60000"":504949,""300000"":504949,""600000"":504949,""1800000"":504949,""3600000"":504949,""+Inf"":504949}"
2026-09-16T20:43:03Z,emailservice,26,25,0,0,1,53,25,"{""0.5"":0,""1"":0,""5"":24,""10"":24,""25"":25,""50"":25,""100"":25,""250"":25,""500"":25,""1000"":25,""2500"":25,""5000"":25,""10000"":25,""30000"":25,""60000"":25,""300000"":25,""600000"":25,""1800000"":25,""3600000"":25,""+Inf"":25}"
2026-09-16T20:43:03Z,frontend,330596,324211,0,6063,322,87240301,330274,"{""0.5"":0,""1"":0,""5"":1925,""10"":13819,""25"":46976,""50"":85500,""100"":131511,""250"":165640,""500"":284782,""1000"":326725,""2500"":330129,""5000"":330274,""10000"":330274,""30000"":330274,""60000"":330274,""300000"":330274,""600000"":330274,""1800000"":330274,""3600000"":330274,""+Inf"":330274}"
2026-09-16T20:43:03Z,paymentservice,587,514,0,0,77,1075,510,"{""0.5"":2,""1"":2,""5"":496,""10"":507,""25"":510,""50"":510,""100"":510,""250"":510,""500"":510,""1000"":510,""2500"":510,""5000"":510,""10000"":510,""30000"":510,""60000"":510,""300000"":510,""600000"":510,""1800000"":510,""3600000"":510,""+Inf"":510}"
2026-09-16T20:43:03Z,productcatalogservice,1434808,1434699,0,0,109,11028957,1434699,"{""0.5"":127918,""1"":127918,""5"":542974,""10"":943341,""25"":1430010,""50"":1434451,""100"":1434699,""250"":1434699,""500"":1434699,""1000"":1434699,""2500"":1434699,""5000"":1434699,""10000"":1434699,""30000"":1434699,""60000"":1434699,""300000"":1434699,""600000"":1434699,""1800000"":1434699,""3600000"":1434699,""+Inf"":1434699}"
2026-09-16T20:43:03Z,recommendationservice,198756,198755,0,0,1,12316429,198755,"{""0.5"":0,""1"":0,""5"":8956,""10"":16072,""25"":51396,""50"":99425,""100"":159487,""250"":197749,""500"":198755,""1000"":198755,""2500"":198755,""5000"":198755,""10000"":198755,""30000"":198755,""60000"":198755,""300000"":198755,""600000"":198755,""1800000"":198755,""3600000"":198755,""+Inf"":198755}"
2026-09-16T20:43:03Z,redis-cart,0,0,0,0,0,0,0,
2026-09-16T20:43:03Z,shippingservice,120160,119362,0,0,803,271049,119362,"{""0.5"":9498,""1"":9498,""5"":111258,""10"":119313,""25"":119344,""50"":119345,""100"":119356,""250"":119361,""500"":119362,""1000"":119362,""2500"":119362,""5000"":119362,""10000"":119362,""30000"":119362,""60000"":119362,""300000"":119362,""600000"":119362,""1800000"":119362,""3600000"":119362,""+Inf"":119362}"
2026-09-16T20:43:04Z,adservice,82218,82210,0,0,8,165796,82210,"{""0.5"":1817,""1"":1817,""5"":78319,""10"":82095,""25"":82182,""50"":82202,""100"":82210,""250"":82210,""500"":82210,""1000"":82210,""2500"":82210,""5000"":82210,""10000"":82210,""30000"":82210,""60000"":82210,""300000"":82210,""600000"":82210,""1800000"":82210,""3600000"":82210,""+Inf"":82210}"
2026-09-16T20:43:04Z,cartservice,337811,337509,0,0,302,1620422,337509,"{""0.5"":26,""1"":26,""5"":200106,""10"":308624,""25"":336890,""50"":337490,""100"":337500,""250"":337508,""500"":337509,""1000"":337509,""2500"":337509,""5000"":337509,""10000"":337509,""30000"":337509,""60000"":337509,""300000"":337509,""600000"":337509,""1800000"":337509,""3600000"":337509,""+Inf"":337509}"
2026-09-16T20:43:04Z,checkoutservice,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-16T20:43:04Z,currencyservice,504981,504949,0,0,32,3256168,504949,"{""0.5"":13808,""1"":13808,""5"":228872,""10"":394325,""25"":501203,""50"":504867,""100"":504940,""250"":504947,""500"":504949,""1000"":504949,""2500"":504949,""5000"":504949,""10000"":504949,""30000"":504949,""60000"":504949,""300000"":504949,""600000"":504949,""1800000"":504949,""3600000"":504949,""+Inf"":504949}"
2026-09-16T20:43:04Z,emailservice,26,25,0,0,1,53,25,"{""0.5"":0,""1"":0,""5"":24,""10"":24,""25"":25,""50"":25,""100"":25,""250"":25,""500"":25,""1000"":25,""2500"":25,""5000"":25,""10000"":25,""30000"":25,""60000"":25,""300000"":25,""600000"":25,""1800000"":25,""3600000"":25,""+Inf"":25}"
2026-09-16T20:43:04Z,frontend,330596,324211,0,6063,322,87240301,330274,"{""0.5"":0,""1"":0,""5"":1925,""10"":13819,""25"":46976,""50"":85500,""100"":131511,""250"":165640,""500"":284782,""1000"":326725,""2500"":330129,""5000"":330274,""10000"":330274,""30000"":330274,""60000"":330274,""300000"":330274,""600000"":330274,""1800000"":330274,""3600000"":330274,""+Inf"":330274}"
2026-09-16T20:43:04Z,paymentservice,587,514,0,0,77,1075,510,"{""0.5"":2,""1"":2,""5"":496,""10"":507,""25"":510,""50"":510,""100"":510,""250"":510,""500"":510,""1000"":510,""2500"":510,""5000"":510,""10000"":510,""30000"":510,""60000"":510,""300000"":510,""600000"":510,""1800000"":510,""3600000"":510,""+Inf"":510}"
2026-09-16T20:43:04Z,productcatalogservice,1434808,1434699,0,0,109,11028957,1434699,"{""0.5"":127918,""1"":127918,""5"":542974,""10"":943341,""25"":1430010,""50"":1434451,""100"":1434699,""250"":1434699,""500"":1434699,""1000"":1434699,""2500"":1434699,""5000"":1434699,""10000"":1434699,""30000"":1434699,""60000"":1434699,""300000"":1434699,""600000"":1434699,""1800000"":1434699,""3600000"":1434699,""+Inf"":1434699}"
2026-09-16T20:43:04Z,recommendationservice,198756,198755,0,0,1,12316429,198755,"{""0.5"":0,""1"":0,""5"":8956,""10"":16072,""25"":51396,""50"":99425,""100"":159487,""250"":197749,""500"":198755,""1000"":198755,""2500"":198755,""5000"":198755,""10000"":198755,""30000"":198755,""60000"":198755,""300000"":198755,""600000"":198755,""1800000"":198755,""3600000"":198755,""+Inf"":198755}"
2026-09-16T20:43:04Z,redis-cart,0,0,0,0,0,0,0,
2026-09-16T20:43:04Z,shippingservice,120160,119362,0,0,803,271049,119362,"{""0.5"":9498,""1"":9498,""5"":111258,""10"":119313,""25"":119344,""50"":119345,""100"":119356,""250"":119361,""500"":119362,""1000"":119362,""2500"":119362,""5000"":119362,""10000"":119362,""30000"":119362,""60000"":119362,""300000"":119362,""600000"":119362,""1800000"":119362,""3600000"":119362,""+Inf"":119362}"
2026-09-16T20:43:05Z,adservice,82218,82210,0,0,8,165796,82210,"{""0.5"":1817,""1"":1817,""5"":78319,""10"":82095,""25"":82182,""50"":82202,""100"":82210,""250"":82210,""500"":82210,""1000"":82210,""2500"":82210,""5000"":82210,""10000"":82210,""30000"":82210,""60000"":82210,""300000"":82210,""600000"":82210,""1800000"":82210,""3600000"":82210,""+Inf"":82210}"
2026-09-16T20:43:05Z,cartservice,337811,337509,0,0,302,1620422,337509,"{""0.5"":26,""1"":26,""5"":200106,""10"":308624,""25"":336890,""50"":337490,""100"":337500,""250"":337508,""500"":337509,""1000"":337509,""2500"":337509,""5000"":337509,""10000"":337509,""30000"":337509,""60000"":337509,""300000"":337509,""600000"":337509,""1800000"":337509,""3600000"":337509,""+Inf"":337509}"
2026-09-16T20:43:05Z,checkoutservice,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-16T20:43:05Z,currencyservice,504981,504949,0,0,32,3256168,504949,"{""0.5"":13808,""1"":13808,""5"":228872,""10"":394325,""25"":501203,""50"":504867,""100"":504940,""250"":504947,""500"":504949,""1000"":504949,""2500"":504949,""5000"":504949,""10000"":504949,""30000"":504949,""60000"":504949,""300000"":504949,""600000"":504949,""1800000"":504949,""3600000"":504949,""+Inf"":504949}"
2026-09-16T20:43:05Z,emailservice,26,25,0,0,1,53,25,"{""0.5"":0,""1"":0,""5"":24,""10"":24,""25"":25,""50"":25,""100"":25,""250"":25,""500"":25,""1000"":25,""2500"":25,""5000"":25,""10000"":25,""30000"":25,""60000"":25,""300000"":25,""600000"":25,""1800000"":25,""3600000"":25,""+Inf"":25}"
2026-09-16T20:43:05Z,frontend,330596,324211,0,6063,322,87240301,330274,"{""0.5"":0,""1"":0,""5"":1925,""10"":13819,""25"":46976,""50"":85500,""100"":131511,""250"":165640,""500"":284782,""1000"":326725,""2500"":330129,""5000"":330274,""10000"":330274,""30000"":330274,""60000"":330274,""300000"":330274,""600000"":330274,""1800000"":330274,""3600000"":330274,""+Inf"":330274}"
2026-09-16T20:43:05Z,paymentservice,587,514,0,0,77,1075,510,"{""0.5"":2,""1"":2,""5"":496,""10"":507,""25"":510,""50"":510,""100"":510,""250"":510,""500"":510,""1000"":510,""2500"":510,""5000"":510,""10000"":510,""30000"":510,""60000"":510,""300000"":510,""600000"":510,""1800000"":510,""3600000"":510,""+Inf"":510}"
2026-09-16T20:43:05Z,productcatalogservice,1434808,1434699,0,0,109,11028957,1434699,"{""0.5"":127918,""1"":127918,""5"":542974,""10"":943341,""25"":1430010,""50"":1434451,""100"":1434699,""250"":1434699,""500"":1434699,""1000"":1434699,""2500"":1434699,""5000"":1434699,""10000"":1434699,""30000"":1434699,""60000"":1434699,""300000"":1434699,""600000"":1434699,""1800000"":1434699,""3600000"":1434699,""+Inf"":1434699}"
2026-09-16T20:43:05Z,recommendationservice,198756,198755,0,0,1,12316429,198755,"{""0.5"":0,""1"":0,""5"":8956,""10"":16072,""25"":51396,""50"":99425,""100"":159487,""250"":197749,""500"":198755,""1000"":198755,""2500"":198755,""5000"":198755,""10000"":198755,""30000"":198755,""60000"":198755,""300000"":198755,""600000"":198755,""1800000"":198755,""3600000"":198755,""+Inf"":198755}"
2026-09-16T20:43:05Z,redis-cart,0,0,0,0,0,0,0,
2026-09-16T20:43:05Z,shippingservice,120160,119362,0,0,803,271049,119362,"{""0.5"":9498,""1"":9498,""5"":111258,""10"":119313,""25"":119344,""50"":119345,""100"":119356,""250"":119361,""500"":119362,""1000"":119362,""2500"":119362,""5000"":119362,""10000"":119362,""30000"":119362,""60000"":119362,""300000"":119362,""600000"":119362,""1800000"":119362,""3600000"":119362,""+Inf"":119362}"
2026-09-16T20:43:06Z,adservice,82218,82210,0,0,8,165796,82210,"{""0.5"":1817,""1"":1817,""5"":78319,""10"":82095,""25"":82182,""50"":82202,""100"":82210,""250"":82210,""500"":82210,""1000"":82210,""2500"":82210,""5000"":82210,""10000"":82210,""30000"":82210,""60000"":82210,""300000"":82210,""600000"":82210,""1800000"":82210,""3600000"":82210,""+Inf"":82210}"
2026-09-16T20:43:06Z,cartservice,337811,337509,0,0,302,1620422,337509,"{""0.5"":26,""1"":26,""5"":200106,""10"":308624,""25"":336890,""50"":337490,""100"":337500,""250"":337508,""500"":337509,""1000"":337509,""2500"":337509,""5000"":337509,""10000"":337509,""30000"":337509,""60000"":337509,""300000"":337509,""600000"":337509,""1800000"":337509,""3600000"":337509,""+Inf"":337509}"
2026-09-16T20:43:06Z,checkoutservice,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-16T20:43:06Z,currencyservice,504981,504949,0,0,32,3256168,504949,"{""0.5"":13808,""1"":13808,""5"":228872,""10"":394325,""25"":501203,""50"":504867,""100"":504940,""250"":504947,""500"":504949,""1000"":504949,""2500"":504949,""5000"":504949,""10000"":504949,""30000"":504949,""60000"":504949,""300000"":504949,""600000"":504949,""1800000"":504949,""3600000"":504949,""+Inf"":504949}"
2026-09-16T20:43:06Z,emailservice,26,25,0,0,1,53,25,"{""0.5"":0,""1"":0,""5"":24,""10"":24,""25"":25,""50"":25,""100"":25,""250"":25,""500"":25,""1000"":25,""2500"":25,""5000"":25,""10000"":25,""30000"":25,""60000"":25,""300000"":25,""600000"":25,""1800000"":25,""3600000"":25,""+Inf"":25}"
2026-09-16T20:43:06Z,frontend,330596,324211,0,6063,322,87240301,330274,"{""0.5"":0,""1"":0,""5"":1925,""10"":13819,""25"":46976,""50"":85500,""100"":131511,""250"":165640,""500"":284782,""1000"":326725,""2500"":330129,""5000"":330274,""10000"":330274,""30000"":330274,""60000"":330274,""300000"":330274,""600000"":330274,""1800000"":330274,""3600000"":330274,""+Inf"":330274}"
2026-09-16T20:43:06Z,paymentservice,587,514,0,0,77,1075,510,"{""0.5"":2,""1"":2,""5"":496,""10"":507,""25"":510,""50"":510,""100"":510,""250"":510,""500"":510,""1000"":510,""2500"":510,""5000"":510,""10000"":510,""30000"":510,""60000"":510,""300000"":510,""600000"":510,""1800000"":510,""3600000"":510,""+Inf"":510}"
2026-09-16T20:43:06Z,productcatalogservice,1434808,1434699,0,0,109,11028957,1434699,"{""0.5"":127918,""1"":127918,""5"":542974,""10"":943341,""25"":1430010,""50"":1434451,""100"":1434699,""250"":1434699,""500"":1434699,""1000"":1434699,""2500"":1434699,""5000"":1434699,""10000"":1434699,""30000"":1434699,""60000"":1434699,""300000"":1434699,""600000"":1434699,""1800000"":1434699,""3600000"":1434699,""+Inf"":1434699}"
2026-09-16T20:43:06Z,recommendationservice,198756,198755,0,0,1,12316429,198755,"{""0.5"":0,""1"":0,""5"":8956,""10"":16072,""25"":51396,""50"":99425,""100"":159487,""250"":197749,""500"":198755,""1000"":198755,""2500"":198755,""5000"":198755,""10000"":198755,""30000"":198755,""60000"":198755,""300000"":198755,""600000"":198755,""1800000"":198755,""3600000"":198755,""+Inf"":198755}"
2026-09-16T20:43:06Z,redis-cart,0,0,0,0,0,0,0,
2026-09-16T20:43:06Z,shippingservice,120160,119362,0,0,803,271049,119362,"{""0.5"":9498,""1"":9498,""5"":111258,""10"":119313,""25"":119344,""50"":119345,""100"":119356,""250"":119361,""500"":119362,""1000"":119362,""2500"":119362,""5000"":119362,""10000"":119362,""30000"":119362,""60000"":119362,""300000"":119362,""600000"":119362,""1800000"":119362,""3600000"":119362,""+Inf"":119362}"
2026-09-16T20:43:07Z,adservice,82218,82210,0,0,8,165796,82210,"{""0.5"":1817,""1"":1817,""5"":78319,""10"":82095,""25"":82182,""50"":82202,""100"":82210,""250"":82210,""500"":82210,""1000"":82210,""2500"":82210,""5000"":82210,""10000"":82210,""30000"":82210,""60000"":82210,""300000"":82210,""600000"":82210,""1800000"":82210,""3600000"":82210,""+Inf"":82210}"
2026-09-16T20:43:07Z,cartservice,337811,337509,0,0,302,1620422,337509,"{""0.5"":26,""1"":26,""5"":200106,""10"":308624,""25"":336890,""50"":337490,""100"":337500,""250"":337508,""500"":337509,""1000"":337509,""2500"":337509,""5000"":337509,""10000"":337509,""30000"":337509,""60000"":337509,""300000"":337509,""600000"":337509,""1800000"":337509,""3600000"":337509,""+Inf"":337509}"
2026-09-16T20:43:07Z,checkoutservice,0,0,0,0,0,0,0,"{""0.5"":0,""1"":0,""5"":0,""10"":0,""25"":0,""50"":0,""100"":0,""250"":0,""500"":0,""1000"":0,""2500"":0,""5000"":0,""10000"":0,""30000"":0,""60000"":0,""300000"":0,""600000"":0,""1800000"":0,""3600000"":0,""+Inf"":0}"
2026-09-16T20:43:07Z,currencyservice,504981,504949,0,0,32,3256168,504949,"{""0.5"":13808,""1"":13808,""5"":228872,""10"":394325,""25"":501203,""50"":504867,""100"":504940,""250"":504947,""500"":504949,""1000"":504949,""2500"":504949,""5000"":504949,""10000"":504949,""30000"":504949,""60000"":504949,""300000"":504949,""600000"":504949,""1800000"":504949,""3600000"":504949,""+Inf"":504949}"
